Delta Time, Position, Velocity, 
10, 20.959380, 2.741824, 
10, 20.986625, 2.724505, 
10, 21.013692, 2.706741, 
10, 21.040578, 2.688552, 
10, 21.067277, 2.669956, 
10, 21.093787, 2.650973, 
10, 21.120103, 2.631618, 
10, 21.146222, 2.611906, 
10, 21.172141, 2.591853, 
10, 21.197855, 2.571470, 
10, 21.223363, 2.550769, 
10, 21.248661, 2.529762, 
10, 21.273745, 2.508459, 
10, 21.298614, 2.486869, 
10, 21.323264, 2.465001, 
10, 21.347693, 2.442862, 
10, 21.371897, 2.420459, 
10, 21.395875, 2.397798, 
10, 21.419624, 2.374887, 
10, 21.443141, 2.351728, 
10, 21.466425, 2.328329, 
10, 21.489471, 2.304691, 
10, 21.512280, 2.280820, 
10, 21.534847, 2.256719, 
10, 21.557171, 2.232389, 
10, 21.579249, 2.207835, 
10, 21.601080, 2.183058, 
10, 21.622660, 2.158059, 
10, 21.643989, 2.132841, 
10, 21.665063, 2.107404, 
10, 21.685880, 2.081749, 
10, 21.706439, 2.055878, 
10, 21.726737, 2.029790, 
10, 21.746772, 2.003486, 
10, 21.766541, 1.976967, 
10, 21.786044, 1.950231, 
10, 21.805276, 1.923280, 
10, 21.824238, 1.896112, 
10, 21.842925, 1.868727, 
10, 21.861336, 1.841126, 
10, 21.879469, 1.813307, 
10, 21.897322, 1.785270, 
10, 21.914892, 1.757014, 
10, 21.932177, 1.728540, 
10, 21.949176, 1.699846, 
10, 21.965885, 1.670932, 
10, 21.982303, 1.641798, 
10, 21.998428, 1.612443, 
10, 22.014256, 1.582867, 
10, 22.029787, 1.553070, 
10, 22.045018, 1.523053, 
10, 22.059946, 1.492814, 
10, 22.074569, 1.462355, 
10, 22.088886, 1.431675, 
10, 22.102894, 1.400776, 
10, 22.116590, 1.369658, 
10, 22.129974, 1.338322, 
10, 22.143041, 1.306770, 
10, 22.155791, 1.275002, 
10, 22.168221, 1.243020, 
10, 22.180330, 1.210827, 
10, 22.192114, 1.178423, 
10, 22.203572, 1.145813, 
10, 22.214702, 1.112997, 
10, 22.225502, 1.079979, 
10, 22.235971, 1.046899, 
10, 22.246111, 1.014059, 
10, 22.255928, 0.981623, 
10, 22.265424, 0.949600, 
10, 22.274604, 0.917998, 
10, 22.283472, 0.886824, 
10, 22.292033, 0.856088, 
10, 22.300291, 0.825796, 
10, 22.308250, 0.795957, 
10, 22.315916, 0.766578, 
10, 22.323293, 0.737666, 
10, 22.330385, 0.709229, 
10, 22.337198, 0.681274, 
10, 22.343736, 0.653808, 
10, 22.350004, 0.626838, 
10, 22.356008, 0.600370, 
10, 22.361752, 0.574412, 
10, 22.367242, 0.548969, 
10, 22.372482, 0.524048, 
10, 22.377479, 0.499654, 
10, 22.382237, 0.475794, 
